epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1199.56,0.83579,2.11175,1.1882,0.97362,0.22225,0.25834,0.19496,0.92345,2.32608,1.36602,0.00036519,0.00036519,0.00036519
2,2771.89,0.81818,1.48713,1.14055,0.41038,0.38838,0.35305,0.23613,1.05101,2.01593,1.54784,0.00072096,0.00072096,0.00072096
3,4755.68,0.82654,1.39011,1.14469,0.34814,0.43299,0.35505,0.23145,0.9901,1.5026,1.43893,0.00106206,0.00106206,0.00106206
4,6704.06,0.80462,1.22827,1.12926,0.38668,0.6905,0.36535,0.2509,0.93747,2.0085,1.43357,0.00104501,0.00104501,0.00104501
5,8701.36,0.7875,1.12695,1.11602,0.37369,0.35766,0.34945,0.22685,0.96837,1.46551,1.43371,0.00102301,0.00102301,0.00102301
6,10629.7,0.78702,1.087,1.1201,0.35943,0.42155,0.40627,0.2819,0.93415,1.06001,1.35502,0.00100101,0.00100101,0.00100101
